ID_racconto,titolo_racconto,date,q1,q3,lower,upper
S149,La decapitazione dei capi,1969-08-01,10,8,0,35
S150,Dall'opaco,1971-06-01,7,7,7,7
S151,"Il nome, il naso",1972-11-01,8,36,8,36
S152,La taverna dei destini incrociati,1973-10-01,29,12,-3,36
S153,Ricordo di una battaglia,1974-04-01,-2,7,-2,36
S154,Autobiografia di uno spettatore,1974-11-01,7,7,-2,20
S155,La pompa di benzina,1974-12-01,12,8,7,31
S156,La glaciazione,1975-04-01,12,8,8,33
S157,L'uomo di Neanderthal,1975-05-01,0,12,0,36
S158,Montezuma,1975-05-01,30,12,6,36
S159,Prima che tu dica pronto,1975-07-01,25,18,6,25
S160,La corsa delle giraffe,1975-08-01,0,-2,-2,7
S161,Del mordersi la lingua,1975-08-01,0,-2,-2,7
S162,Il fischio del merlo,1975-08-01,0,-2,-2,31
S163,Del prendersela coi giovani,1975-08-01,0,-2,-2,14
S164,Lettura di un'onda,1975-08-01,0,-2,-2,15
S165,La pantofola spaiata,1975-09-01,0,-2,-2,9
S166,Un chilo e mezzo di grasso d'oca,1976-01-01,0,-2,-2,15
S167,Altre città (per Cesare Peverelli),1976-05-01,1,11,1,12
S168,Serpenti e teschi,1976-07-01,0,-2,-2,34
S169,Il richiamo dell'acqua,1976-12-01,7,11,6,12
S170,L'aiola di sabbia,1977-01-01,0,-2,-2,15
S171,La poubelle agréée,1977-02-01,0,-2,-2,27
S172,Il seno nudo,1977-08-01,0,-2,-2,15
S173,Il crollo del tempo (si alcuni disegni di Saul Steinberg),1977-10-01,10,10,0,18
S174,Parafrasi (per Lucio del Pezzo),1978-04-01,8,35,1,35
S175,Lo specchio e il bersaglio,1978-12-01,10,10,9,31
S176,La coscienza a posto (apologo sull'onestà nel paese dei corrotti),1980-03-01,0,11,0,11
S177,Quattro favole d'Esopo per Valerio Adami,1980-05-01,34,18,3,34
S178,Il gorilla albino,1980-05-01,0,-2,-2,9
S179,L'altra Euridice,1980-09-01,0,12,0,35
S180,Essere pietra (per Alberto Magnelli),1981-07-01,7,8,7,8
S181,Le memorie di casanova,1982-08-01,0,7,0,34
S182,L'invasione degli storni,1981-12-01,0,-2,-2,25
S183,Il silenzio e la città (per Fabio Borbottoni),1982-01-01,3,8,0,35
S184,L'occhio e i pianeti,1982-06-01,0,-2,-2,14
S185,Sapore Sapere (Sotto il sole giaguaro),1982-06-01,-3,8,-3,36
S186,Il mondo guarda il mondo,1982-07-01,0,-2,-2,15
S187,La pancia del geco,1982-08-01,0,-2,-2,14
S188,Quattro studi dal vero alla maniera di Domenico Gnoli,1983-05-01,7,7,7,7
S189,Viaggio nelle città di de Chirico,1983-07-01,10,12,5,30
S190,La spada del sole,1983-07-01,0,-2,-2,12
S191,La contemplazione delle stelle,1983-08-01,0,-2,-2,15
S192,Gli amori delle tartarughe,1983-11-01,0,-2,-2,9
S193,Il prato infinito,1983-11-01,0,-2,-2,15
S194,Luna di pomeriggio,1983-11-01,0,-2,-2,7
S195,Dal terrazzo,1983-11-01,0,-2,-2,12
S196,Il museo dei formaggi,1983-11-01,0,-2,-2,15
S197,Il marmo e il sangue,1983-11-01,0,-2,-2,14
S198,L'ordine degli squamati,1983-11-01,0,-2,-2,12
S199,Il modello dei modelli,1983-11-01,0,-2,-2,15
S200,L'universo come specchio,1983-11-01,0,-2,-2,14
S201,Come imparare a essere morto,1983-11-01,14,36,0,36
S202,L'ultimo canale,1984-01-01,14,34,7,34
S203,Il ricordo è bendato (per Leonardo Cremonini),1984-06-01,7,6,0,35
S204,Un re in ascolto,1984-08-01,27,5,0,34
S205,Il niente e il poco,1984-09-01,0,12,0,35
S206,L'implosione,1984-09-01,-3,12,-3,12
V001,Il sentiero dei nidi di ragno,1947-10-01,34,11,-1,36
V003,Il visconte dimezzato,1952-02-01,12,12,-2,36
V005,Il barone rampante,1957-06-01,34,-2,-2,36
V008,Il cavaliere inesistente,1959-11-01,29,-3,-3,35
V009,La giornata d'uno scrutatore,1963-02-01,17,7,5,34
V018,Le città invisibili,1972-11-01,-3,-3,-3,1
V019,Il castello dei destini incrociati,1973-10-01,29,12,-3,36
V021,Se una notte d'inverno un viaggiatore,1979-06-01,-2,-2,-2,36
